 -0.49288869D-02  0.28911838D+01 -0.65130455D+01 -0.46419061D+01
 -0.23583126D-01  0.39684249D+01 -0.69377062D+01 -0.13735133D+01
 -0.25534278D-01 -0.38531096D+01 -0.59880000D+01 -0.13735133D+01
 -0.22599643D-01 -0.38531096D+01 -0.78874125D+01 -0.13735133D+01
 -0.17234354D-01  0.34367567D+01 -0.69377062D+01 -0.33577257D+01
  0.18213389D-01 -0.57021405D-15 -0.46561510D+01  0.78841416D+01
  0.13895843D-01  0.18660653D+01 -0.46561510D+01  0.72778203D+01
  0.19256200D-01  0.57664589D+00 -0.28814175D+01  0.72778203D+01
  0.15654021D-01 -0.15096785D+01 -0.35593054D+01  0.72778203D+01
  0.15381076D-01 -0.15096785D+01 -0.57529967D+01  0.72778203D+01
  0.18765137D-01  0.57664589D+00 -0.64308846D+01  0.72778203D+01
  0.14581242D-02  0.30193571D+01 -0.46561510D+01  0.56904503D+01
  0.75064896D-02  0.23129617D+01 -0.27153457D+01  0.56904503D+01
  0.29835964D-02 -0.28372675D+01 -0.36234701D+01  0.56904503D+01
  0.26033633D-02 -0.28372675D+01 -0.56888320D+01  0.56904503D+01
  0.71139776D-02  0.23129617D+01 -0.65969563D+01  0.56904503D+01
  0.14581216D-02  0.30193571D+01 -0.46561492D+01 -0.56904481D+01
  0.75065185D-02  0.23129617D+01 -0.27153439D+01 -0.56904481D+01
  0.29836070D-02 -0.28372675D+01 -0.36234683D+01 -0.56904481D+01
  0.26033544D-02 -0.28372675D+01 -0.56888301D+01 -0.56904481D+01
  0.71139749D-02  0.23129617D+01 -0.65969545D+01 -0.56904481D+01
  0.13895842D-01  0.18660653D+01 -0.46561492D+01 -0.72778181D+01
  0.19256215D-01  0.57664589D+00 -0.28814156D+01 -0.72778181D+01
  0.15654029D-01 -0.15096785D+01 -0.35593035D+01 -0.72778181D+01
  0.15381072D-01 -0.15096785D+01 -0.57529948D+01 -0.72778181D+01
  0.18765139D-01  0.57664589D+00 -0.64308827D+01 -0.72778181D+01
